id,text,aspectTerm,from,to,polarity
1728,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",,,,
620,"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",,,,
2423,This machine delivers.,,,,
1781,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,,,,
645,I complain again...,,,,
2,This laptop is insane!!!,,,,
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,62.0,72.0,positive
2472,It does run a little warm but that is a negligible concern.,,,,
803,It rarely works and when it does it's incredibly slow.,works,10.0,15.0,negative
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,66.0,75.0,positive
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,95.0,109.0,neutral
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,44.0,60.0,positive
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,84.0,88.0,positive
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,23.0,31.0,positive
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,65.0,75.0,positive
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,64.0,72.0,negative
1555,I always swore by PCs and would never consider a MAC.,,,,
2199,"what an elegant, wonderful machine.",,,,
72,This is now my 3rd MacBook Pro and I really honestly love it!,,,,
1151,for 2 months.,,,,
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,25.0,42.0,neutral
2113,Do you ever think HP would do that? NEVER!,,,,
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,16.0,22.0,neutral
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,98.0,103.0,positive
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,75.0,85.0,positive
1307,It's not like I have used for half a year and then complained about it.,,,,
2186,Still trying to learn how to use it.,,,,
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,92.0,119.0,negative
1875,I bought the netbook because it was smaller and lighter for me to carry around.,,,,
1359,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,,,,
2483,We'll save our money to replace it with a Mac again!,,,,
2945,Thank you for your great product!,,,,
197,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",,,,
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,93.0,110.0,negative
163,"Sorry Toshiba, but 1st impressions do count for something.",,,,
900,"Then, within 5 months, the charger crapped out on me.",charger,27.0,34.0,negative
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,88.0,93.0,positive
2972,Overall this laptop is great.,,,,
446,I love the glass touchpad.,glass touchpad,11.0,25.0,positive
1912,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,66.0,76.0,negative
1912,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,81.0,93.0,negative
2752,I am using the external speaker- sound is good.,external speaker,15.0,31.0,positive
2752,I am using the external speaker- sound is good.,sound,33.0,38.0,positive
270,The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,,,,
2646,"Ok, this is probably the best laptop series ever devised by Apple.",,,,
886,"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",,,,
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,18.0,30.0,negative
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,37.0,45.0,negative
2772,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,,,,
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,36.0,44.0,negative
699,I would recommend anyone to buy from pcconnection express.,,,,
1034,Good luck.,,,,
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,30.0,42.0,positive
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,72.0,90.0,negative
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,25.0,28.0,positive
1863,"My favorite by far, although the most expensive, was my Sony.",,,,
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,80.0,91.0,negative
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,32.0,39.0,negative
1029,Also I typed faster then then letters would show and it got to be realy annoying.,,,,
1014,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,,,,
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,12.0,15.0,positive
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,28.0,35.0,positive
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,60.0,76.0,positive
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,99.0,109.0,positive
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,17.0,29.0,positive
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,180.0,192.0,positive
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,142.0,148.0,neutral
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,153.0,166.0,neutral
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,48.0,60.0,neutral
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,65.0,77.0,neutral
1073,"I shipped out on Saturday, July 17.",,,,
2788,I bought it for really cheap also and it's AMAZING.,,,,
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,29.0,43.0,positive
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",17.0,45.0,neutral
210,If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,,,,
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,39.0,55.0,neutral
1718,I eventually did the migration from my iMac backup disc which uses USB.,USB,67.0,70.0,neutral
2770,Those things are very important - vital even!,,,,
642,"-They say it will take ""up to two weeks"".",,,,
471,I didn't like one thing about it.,,,,
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,4.0,16.0,positive
3027,Enabling the battery timer is useless.,battery timer,13.0,26.0,negative
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,0.0,12.0,neutral
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,64.0,97.0,neutral
1340,"Yeah, to you.",,,,
2638,I got a mac as my HS graduation gift.,,,,
2099,I have now had it for 1.5 months and love it.,,,,
58,It turned out it's not really a problem to have a Mac.,,,,
2716,Page just disapeared after you got yahoo or downloaded something.,,,,
2317,Images can be multi-selected and viewed swiftly or in slideshow mode.,,,,
1110,Going to bring it to service today.,service,21.0,28.0,neutral
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,29.0,53.0,positive
488,"But we had paid for bluetooth, and there was none.",bluetooth,20.0,29.0,negative
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,22.0,48.0,neutral
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,93.0,98.0,negative
2985,"My daughter uses it for games, email, facebook, pictures and music.",games,24.0,29.0,neutral
2145,Laptop is to be used like a Netbook.,,,,
1573,"It is always reliable, never bugged and responds well.",responds,40.0,48.0,positive
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,63.0,74.0,negative
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,114.0,125.0,neutral
704,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",,,,
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,37.0,45.0,negative
1347,they had to replace the motherboard in April,motherboard,24.0,35.0,negative
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,110.0,113.0,positive
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,31.0,56.0,negative
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,170.0,176.0,negative
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,217.0,219.0,positive
34,There is a little indent to help open it - but good luck with that.,,,,
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,7.0,16.0,positive
2864,I love WIndows 7 which is a vast improvment over Vista.,Vista,49.0,54.0,negative
815,"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",,,,
2801,It Was a great deal after all.,,,,
1568,This mac is great!,,,,
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,0.0,8.0,positive
362,I grew up in a design family so it only made sense.,,,,
619,Gave phonenumber.,,,,
708,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,,,,
167,Oh my goodness-I am not a happy camper.,,,,
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,0.0,26.0,negative
1563,I'd recommend this laptop to anyone!,,,,
172,"Yet, HP won't do anything about the problem.",,,,
1396,i'm returning mine,,,,
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,9.0,23.0,negative
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,64.0,67.0,neutral
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,97.0,109.0,positive
46,It's a bummer and one out of five is being kind.,,,,
418,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",,,,
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,50.0,65.0,positive
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,29.0,35.0,positive
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,58.0,78.0,neutral
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,58.0,71.0,negative
1514,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,,,,
2699,One of them seems to have worked.,,,,
524,Which I still use and have hooked up to my TV.,,,,
155,The problem I had with this unit was unresolvable.,,,,
493,It weighed like seven pounds or something like that.,weighed,3.0,10.0,neutral
493,It weighed like seven pounds or something like that.,seven pounds,16.0,28.0,neutral
902,"2 months later, the battery went.",battery,20.0,27.0,negative
2433,You may need to special order a bag.,bag,32.0,35.0,neutral
1675,It's color is even cool.,color,5.0,10.0,positive
3000,and it has blue screen crashed on me twice.,,,,
954,Another two weeks later and it was back in my possession.,,,,
609,keys are all in weird places and is way too large for the way it is designed.,keys,0.0,4.0,negative
609,keys are all in weird places and is way too large for the way it is designed.,designed,68.0,76.0,negative
50,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",,,,
1265,We purchase the Dell XPS several years ago for my home business.,,,,
2150,"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.",,,,
1777,I would recommend anyone to buy from pcconnection express.,,,,
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,95.0,100.0,positive
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,102.0,107.0,positive
1585,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,,,,
2444,I'm pleased.,,,,
2335,The keyboard feels good and I type just fine on it.,keyboard,4.0,12.0,positive
1635,"With a healthy pessimism, I took the machine home and tried to find a flaw.",,,,
1661,Shiny  This Laptop is the Best of the best!,,,,
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,76.0,84.0,neutral
1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,62.0,69.0,negative
1388,"Don't waste their money, save it and but a mac.",,,,
715,Money and time well spent!,,,,
1901,Gradually the freezing screen evolved into a screen that froze in weird shapes.,,,,
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,26.0,31.0,positive
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,33.0,40.0,positive
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,128.0,140.0,positive
2389,Good laptop for the money.,,,,
2667,I like the laptop overall.,,,,
1618,I now travel with this laptop and my work PC.,,,,
1460,I am however pleased that it is still hanging in there.,,,,
2964,Both my husband and I have this model Toshiba.,,,,
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,133.0,143.0,neutral
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,152.0,163.0,neutral
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,58.0,63.0,positive
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,65.0,85.0,positive
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,91.0,100.0,positive
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,10.0,14.0,conflict
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,71.0,79.0,positive
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,84.0,88.0,positive
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",118.0,146.0,positive
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,19.0,28.0,neutral
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,70.0,73.0,positive
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,75.0,83.0,positive
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,146.0,154.0,conflict
823,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,36.0,39.0,negative
823,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,92.0,96.0,negative
3006,lots of preloaded software.,preloaded software,8.0,26.0,positive
1861,"Sony, Acer, Dell, Packard Bell and Toshiba.",,,,
1301,"and then, a guy came out to serve me instead.",,,,
788,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,,,,
2056,Have returned that laptop unused.,,,,
825,Will probably never buy a HP again.,,,,
1823,I got tired of buying laptops and having them stop working after a year.,,,,
2439,I should have been more observant.,,,,
2941,"I wish it had a webcam though, then it would be perfect!",webcam,16.0,22.0,negative
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,51.0,59.0,positive
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,92.0,98.0,neutral
1686,Another thing I might add is the battery life is excellent.,battery life,33.0,45.0,positive
2091,"One drawback, I wish the keys were backlit.",keys,25.0,29.0,negative
727,"When the buyer returned it Wal Mart just boxed it, taped it shut  resold it as new.",,,,
3001,What a great little laptop.,,,,
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,200.0,208.0,positive
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,11.0,17.0,negative
