|   day |   penalty |
|   181 |      0.8  |
|   182 |      0.8  |
|   183 |      0.8  |
|   184 |      0.8  |
|   185 |      0.8  |
|   186 |      0.8  |
|   187 |      0.8  |
|   188 |      0.8  |
|   189 |      0.8  |
|   190 |      0.8  |
|   191 |      0.8  |
|   192 |      0.8  |
|   193 |      0.8  |
|   194 |      0.8  |
|   195 |      0.8  |
|   196 |      0.8  |
|   197 |      0.8  |
|   198 |      0.8  |
|   199 |      0.8  |
|   200 |      0.8  |
|   201 |      0.8  |
|   202 |      0.8  |
|   203 |      0.8  |
|   204 |      0.8  |
|   205 |      0.8  |
|   206 |      0.8  |
|   207 |      0.8  |
|   208 |      0.8  |
|   209 |      0.8  |
|   210 |      0.8  |
|   211 |      0.8  |
|   212 |      0.8  |
|   213 |      0.8  |
|   214 |      0.8  |
|   215 |      0.8  |
|   216 |      0.8  |
|   217 |      0.8  |
|   218 |      0.8  |
|   219 |      0.8  |
|   220 |      0.8  |
|   221 |      0.8  |
|   222 |      0.8  |
|   223 |      0.8  |
|   224 |      0.8  |
|   225 |      0.8  |
|   226 |      0.8  |
|   227 |      0.8  |
|   228 |      0.8  |
|   229 |      0.8  |
|   230 |      0.8  |
|   231 |      0.8  |
|   232 |      0.8  |
|   233 |      0.8  |
|   234 |      0.8  |
|   235 |      0.8  |
|   236 |      0.8  |
|   237 |      0.8  |
|   238 |      0.8  |
|   239 |      0.8  |
|   240 |      0.8  |
|   241 |      0.8  |
|   242 |      0.8  |
|   243 |      0.8  |
|   244 |      0.8  |
|   245 |      0.8  |
|   246 |      0.8  |
|   247 |      0.8  |
|   248 |      0.8  |
|   249 |      0.8  |
|   250 |      0.8  |
|   251 |      0.8  |
|   252 |      0.8  |
|   253 |      0.8  |
|   254 |      0.8  |
|   255 |      0.8  |
|   256 |      0.8  |
|   257 |      0.8  |
|   258 |      0.8  |
|   259 |      0.8  |
|   260 |      0.8  |
|   261 |      0.8  |
|   262 |      0.8  |
|   263 |      0.8  |
|   264 |      0.8  |
|   265 |      0.8  |
|   266 |      0.8  |
|   267 |      0.8  |
|   268 |      0.8  |
|   269 |      0.8  |
|   270 |      0.8  |
|   271 |      0.8  |
|   272 |      0.8  |
|   273 |      0.8  |
|   274 |      0.8  |
|   275 |      0.8  |
|   276 |      0.8  |
|   277 |      0.8  |
|   278 |      0.8  |
|   279 |      0.8  |
|   280 |      0.8  |
|   281 |      0.8  |
|   282 |      0.8  |
|   283 |      0.8  |
|   284 |      0.8  |
|   285 |      0.8  |
|   286 |      0.8  |
|   287 |      0.8  |
|   288 |      0.8  |
|   289 |      0.8  |
|   290 |      0.8  |
|   291 |      0.8  |
|   292 |      0.8  |
|   293 |      0.8  |
|   294 |      0.8  |
|   295 |      0.8  |
|   296 |      0.8  |
|   297 |      0.8  |
|   298 |      0.8  |
|   299 |      0.8  |
|   300 |      0.8  |
|   301 |      0.8  |
|   302 |      0.8  |
|   303 |      0.8  |
|   304 |      0.8  |
|   305 |      0.8  |
|   306 |      0.8  |
|   307 |      0.8  |
|   308 |      0.8  |
|   309 |      0.8  |
|   310 |      0.8  |
|   311 |      0.8  |
|   312 |      0.8  |
|   313 |      0.8  |
|   314 |      0.8  |
|   315 |      0.8  |
|   316 |      0.8  |
|   317 |      0.8  |
|   318 |      0.8  |
|   319 |      0.8  |
|   320 |      0.8  |
|   321 |      0.8  |
|   322 |      0.8  |
|   323 |      0.8  |
|   324 |      0.8  |
|   325 |      0.8  |
|   326 |      0.8  |
|   327 |      0.8  |
|   328 |      0.8  |
|   329 |      0.8  |
|   330 |      0.8  |
|   331 |      0.8  |
|   332 |      0.8  |
|   333 |      0.8  |
|   334 |      0.8  |
|   335 |      0.8  |
|   336 |      0.8  |
|   337 |      0.8  |
|   338 |      0.8  |
|   339 |      0.8  |
|   340 |      0.8  |
|   341 |      0.8  |
|   342 |      0.8  |
|   343 |      0.8  |
|   344 |      0.8  |
|   345 |      0.8  |
|   346 |      0.8  |
|   347 |      0.8  |
|   348 |      0.8  |
|   349 |      0.8  |
|   350 |      0.8  |
|   351 |      0.8  |
|   352 |      0.8  |
|   353 |      0.8  |
|   354 |      0.8  |
|   355 |      0.8  |
|   356 |      0.8  |
|   357 |      0.8  |
|   358 |      0.8  |
|   359 |      0.8  |
|   360 |      0.8  |
|   361 |      0.8  |
|   362 |      0.8  |
|   363 |      0    |
|   364 |      0    |
